Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Pembina Customs District ,All,All,January,Export,2019,48,16799,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Philadelphia Customs District ,All,All,January,Export,2019,49,69938277,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Philadelphia Customs District ,All,All,January,Export,2019,49,48626220,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Gulf Coast,Port Arthur Customs District ,All,All,January,Export,2019,50,1129386423,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Gulf Coast,Port Arthur Customs District ,All,All,January,Export,2019,50,573566922,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Atlantic,Portland Customs District ,All,All,January,Export,2019,51,157849,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Atlantic,Portland Customs District ,All,All,January,Export,2019,51,3963137,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Portland Customs District ,All,All,January,Export,2019,52,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Portland Customs District ,All,All,January,Export,2019,52,1268249,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Portland Customs District ,All,All,January,Export,2019,53,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Portland Customs District ,All,All,January,Export,2019,53,170774059,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Providence Customs District ,All,All,January,Export,2019,54,16428007,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Providence Customs District ,All,All,January,Export,2019,54,4767786,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Continental,San Diego Customs District ,All,All,January,Export,2019,55,2280,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Continental,San Diego Customs District ,All,All,January,Export,2019,55,656438771,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Southern Border Ports,Pacific,San Diego Customs District ,All,All,January,Export,2019,56,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Southern Border Ports,Pacific,San Diego Customs District ,All,All,January,Export,2019,56,1499427442,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,San Diego Customs District ,All,All,January,Export,2019,57,27597,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,San Diego Customs District ,All,All,January,Export,2019,57,2040152,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,San Francisco Customs District ,All,All,January,Export,2019,58,133337036,All Partners (Canada and Mexico)
