Customer City,Customer Name
BALTIMORE,JOHNS HOPKINS MEDICAL INSTITUTE
BALTIMORE,JOHNS HOPKINS UNIVERSITY
BALTIMORE,NATL INST. OF AGING-USE 502185
BALTIMORE,"NEXT BREATH, LLC"
BALTIMORE,NORTHROP GRUMMAN
BALTIMORE,POMPEIAN INC
BALTIMORE,SUN PRODUCTS CORP - FORMERLY UNILEV
BALTIMORE,TILLEY CHEMICAL COMPANY INC
BALTIMORE,UNIVERSITY OF MARYLAND
BANGKOK,BECTHAI BANGKOK EQUIPMENT &
BANGOR,BIOSPECTRA INC
BAR HARBOR,JACKSON LABORATORY
BARABOO,CT LABORATORIES
BARABOO,FOREMOST FARMS USA
BARABOO,"TEEL PLASTICS, INC."
BARBERTON,BABCOCK and WILCOX
BARDSTOWN,HEAVEN HILL BRANDS
BARNWELL,SWISS KRONO USA
BARRON,JENNIE-O TURKEY STORE
BARTLESVILLE,CONOCPHILLIPS COMPANY
BARTLESVILLE,PHILLIPS 66 COMPANY
BARTLETT,#USE 502519  PFIZER INC
BARTLETT,PFIZER INC GFSS - AMERICAS
BARTOW,CF INDUSTRIES INC
BARTOW,MOSAIC FERTILIZER LLC
BASKING RIDGE,THE FOUNDATION FOR EMBRYONIC COMPET
BATAVIA,SUMMIT LUBRICANTS
BATESVILLE,ARKANSAS LIME COMPANY
BATESVILLE,"EURARK, LLC"
BATESVILLE,LYON COLLEGE
BATESVILLE,WHITE RIVER MEDICAL CENTER
BATH,EFFORT FOUNDRY
BATH,KEYSTONE CEMENT COMPANY
BATON ROUGE,ALBEMARLE  CORPORATION
BATON ROUGE,ALBEMARLE CORPORATION
BATON ROUGE,ANALYLTICAL & ENVIR TESTING INC
BATON ROUGE,GULF COAST ANALYTICAL
BATON ROUGE,LIGATRAP TECHNOLOGIES
BATON ROUGE,LION COPOLYMER GEISMAR LLC
BATON ROUGE,LOUISIANA STATE UNIV - BATON ROUGE
BATON ROUGE,PENNINGTON BIOMED RES CTR
BATON ROUGE,SOUTHERN UNIVERSITY A&M
BATON ROUGE,STATE OF LOUISIANA - DIV OF ADMIN
BATON ROUGE,STUPP CORPORATION
BATTLE CREEK,COSMA CASTINGS MICHIGAN
BATTLE CREEK,KELLOGG COMPANY
BATTLE CREEK,RALSTON FOODS INC
BATTLE CREEK,"TRMI, INC"
BAUXITE,ALMATIS PREMIUM ALUMINA
BAYAMON,JANER RAMIREZ INC
BAYPORT,ANDERSEN CORPORATION
BAYTOWN,BAYER CORPORATION
BAYTOWN,EXXONMOBIL CHEMICAL
BAYTOWN,LCY ELASTOMER LP
BAYTOWN,UNITED SALT CORPORATION
BEACHWOOD,JR HENDERSON LABS
BEACHWOOD,REAL ALLOY RECYCLING LLC
BEACHWOOD,TREMCO INC
BEAUFORT,BEAUFORT COUNTY
BEAUFORT,BEAUFORT JASPER WSA
BEAUMONT,EQUISTAR
BEAUMONT,GOODYEAR TIRE & RUBBER COMPANY (BEA
BEAUMONT,HELENA LABORATORIES CORP
