"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Celebrity Cruise Line,CELEBRITY CONSTELLATION,1/31/2004,San Juan,Southern Caribbean,7,"1,897","1,950",1,1,2004,"13,279"
Celebrity Cruise Line,CELEBRITY CENTURY,1/31/2004,Fort Lauderdale,Western Caribbean,7,"1,777","1,750",1,1,2004,"12,439"
Royal Caribbean International,GRANDEUR OF THE SEAS,1/31/2004,New Orleans,Western Caribbean,7,"1,985","1,950",1,1,2004,"13,895"
Holland America Line,VEENDAM,1/31/2004,Tampa,Western Caribbean,7,"1,220","1,266",1,1,2004,"8,540"
Holland America Line,ZAANDAM,1/31/2004,Port Canaveral ,Eastern Caribbean,7,"1,387","1,440",1,1,2004,"9,709"
Carnival Cruise Line,JUBILEE,1/31/2004,San Juan,Southern Caribbean,7,"1,480","1,486",1,1,2004,"10,360"
Norwegian Cruise Line,NORWEGIAN WIND,1/31/2004,Miami   ,Western Caribbean,7,"1,772","1,748",1,1,2004,"12,404"
Carnival Cruise Line,HOLIDAY,1/31/2004,New Orleans,Western Caribbean,5,"1,540","1,452",1,1,2004,"7,700"
Holland America Line,ZUIDERDAM,1/31/2004,Fort Lauderdale      ,Eastern Caribbean,7,"1,697","1,848",1,1,2004,"11,879"
Norwegian Cruise Line,NORWEGIAN MAJESTY,1/31/2004,Charleston   ,Western Caribbean,7,"1,437","1,462",1,1,2004,"10,059"
Royal Caribbean International,EXPLORER OF THE SEAS,1/31/2004,Miami,Western Caribbean,7,"3,313","3,114",1,1,2004,"23,191"
Carnival Cruise Line,CARNIVAL GLORY,1/31/2004,Port Canaveral,Western Caribbean,7,"3,044","2,974",1,1,2004,"21,308"
Carnival Cruise Line,CARNIVAL TRIUMPH,1/31/2004,Miami,Eastern Caribbean,7,"2,837","2,758",1,1,2004,"19,859"
Disney Cruise Line,DISNEY MAGIC,1/31/2004,Port Canaveral,Western Caribbean,7,"2,532","1,754",1,1,2004,"17,724"
